|abies alba| pinacea e.1.5
|abies bracteata| pinacea e.1.4
|abies cephalonica| pinacea tol.3
|abies concolor| pinacea e.1.4
|abies koreana| pinacea e.1.4
|abies nordmanniana| pinacea f.13
|abies pinsapo| pinacea c.12.12,f.21,f.5
|acacia dealbata| leguminosa |c.1.1.2, c.1.2.1|
|acacia seyal| leguminosa v.2.2
|acer buergerianum| aceracea e.8.1
|acer campestre| aceracea ap.8,e.10.8,e.12.7,tol.3,vj.4
|acer cappadocicum 'rubrum'| aceracea f.18
|acer circinatum 'pacific fire'| aceracea ji.1
|acer granatense| aceracea |j.5.7, j.5.8|
|acer griseum| aceracea jl.2
|acer griseum x pseudoplatanus| aceracea jl.3
|acer heldreichii| aceracea |f.6, plat.15|
|acer japonicum 'aconitifolium'| aceracea c.2.3.4
|acer mono| aceracea e.0,f.25
|acer monspessulanum| aceracea e.6.5
|acer negundo| aceracea c.3.1,c.3.9,c.7.12,tol.3
|acer obtusifolium| aceracea j.5.8
|acer opalus| aceracea |c.6.11, c.6.6,  j.5.8, j.6|
|acer palmatum| aceracea |bns.v,  e.8.7,e.8.8|
|acer palmatum 'aka shigitatsu sawa'| aceracea vj.16
|acer palmatum 'ao shime-no-uchi'| aceracea vj.12
|acer palmatum 'aoyagi'| aceracea |c.2.2.1, j.5|
|acer palmatum 'asahi zuru'| aceracea vj.16
|acer palmatum 'atropurpureum'| aceracea c.2.3.3
|acer palmatum 'attraction'| aceracea |ap.6, jl.2|
|acer palmatum 'baldsmith'| aceracea vj.14
|acer palmatum 'beni chidori'| aceracea bns.e
|acer palmatum 'beni komachi'| aceracea vj.12
|acer palmatum 'beni shichihenge'| aceracea vj.16
|acer palmatum 'beni ubi gohon'| aceracea c.4.12
|acer palmatum 'bi-hoo'| aceracea |ap.6, jl.2|
|acer palmatum 'bloodgood'| aceracea |c.2.2.1, j.5|
|acer palmatum 'burgundy lace'| aceracea vj.2
|acer palmatum 'butterfly'| aceracea |c.2.2.1, c.2.3.1, j.5|
|acer palmatum 'coonara pygmy'| aceracea vj.2
|acer palmatum 'crimson prince '| aceracea vj.4
|acer palmatum 'crimson queen'| aceracea vj.4
|acer palmatum 'crippsii'| aceracea vj.2
|acer palmatum 'deshôjô'| aceracea bns.n
|acer palmatum 'emerald lace'| aceracea vj.10
|acer palmatum 'fireglow'| aceracea |c.2.3.1, vj.2|
|acer palmatum 'garnet'| aceracea c.2.3.1,c.2.3.3
|acer palmatum 'genshu yama'| aceracea |ap.6, jl.2|
|acer palmatum 'goshiki kotohime'| aceracea c.4.10
|acer palmatum 'green cascade'| aceracea vj.16
|acer palmatum 'hogyoku'| aceracea vj.12
|acer palmatum 'inaba shidare'| aceracea vj.16
|acer palmatum 'kamagata'| aceracea vj.12
|acer palmatum 'kasagi yama'| aceracea vj.10
|acer palmatum 'kashima'| aceracea bns.n
|acer palmatum 'katsura'| aceracea c.2.2.1
|acer palmatum 'koreanum'| aceracea j.5
|acer palmatum 'koto no ito'| aceracea c16.3
|acer palmatum 'linearilobum red'| aceracea vj.2
|acer palmatum 'linearilobum'| aceracea c.2.2.1
|acer palmatum 'little princess'| aceracea vj.2
|acer palmatum 'murasaki kiyohime'| aceracea vj.16
|acer palmatum subsp. matsumurae| aceracea bns.e
|acer palmatum var. dissectum 'seiryu'| aceracea vj.4
|acer palmatum var. dissectum 'viride'| aceracea j.5
|acer palmatum 'matsuyoi'| aceracea |c.2.2.1, j.5|
|acer palmatum 'mikawa yatsubusa'| aceracea |c.4.11, vj.4|
|acer palmatum 'omureyama'| aceracea vj.2
|acer palmatum 'orange dream'| aceracea c.16,3
|acer palmatum 'oregon sunset'| aceracea |j.10, vj.16|
|acer palmatum 'osakazuki'| aceracea c.2,3,1
|acer palmatum 'palmatifidium'| aceracea vj.2
|acer palmatum 'peaches & cream'| aceracea vj.16
|acer palmatum 'red pygmy'| aceracea c.4,11
|acer palmatum 'red wood'| aceracea c.4,13
|acer palmatum 'reticulatum'| aceracea c.2,3,1
|acer palmatum 'roseo marginatum'| aceracea vj.2
|acer palmatum 'samidare'| aceracea j.5
|acer palmatum 'sango kaku'| aceracea vj.2
|acer palmatum 'satzuki-beni'| aceracea |c.2,3,1; j.5,0; j.5,14|
|acer palmatum 'scolopendriifolium'| aceracea vj.2
|acer palmatum 'seigen'| aceracea bns.e
|acer palmatum 'seiryu'| aceracea |c.2,2,1; c.2,3,; j.5; vj.2|
|acer palmatum 'sharp's pygmy'| aceracea vj.4
|acer palmatum 'shidava gold'| aceracea vj.16
|acer palmatum 'shishigashira'| aceracea |vj.4; pu|
|acer palmatum 'shojo'| aceracea |j.5; c.2,2,1|
|acer palmatum 'skeeter's broom'| aceracea |vj.2; pu|
|acer palmatum 'sumi nagashi'| aceracea vj.2
|acer palmatum 'trompenburg'| aceracea j.5
|acer palmatum 'ukon'| aceracea vj.14
|acer palmatum 'villa taranto'| aceracea vj.4
|acer palmatum 'viridis'| aceracea vj.4
|acer palmatum 'winter flame'| aceracea c.4,15
|acer palmatum 'yama otome'| aceracea vj.2
|acer palmatum 'yasemin'| aceracea vj.16
|acer pensylvanicum 'erythrocladum'| aceracea ji.1
|acer platanoides| aceracea |f.14; j|
|acer platanoides 'schwedleri'| aceracea e.12.5,f.3
|acer pseudoplatanus| aceracea c.10.12,c.12.6,c.15.1,c.15.4,c.8.7,e.9.5,e.9.7,plat.5
|acer pseudoplatanus 'atropurpureum'| aceracea e.7.5
|acer rubrum| aceracea |j.4; tol.3|
|acer rufinerve 'erythrocladum'| aceracea ji.1
|acer saccharinum| aceracea e.5.1,f.14,f.17,f.5
|acer saccharum subsp. saccharum| aceracea e.3,8
|acer sempervirens| aceracea ji.3
|acer shirasawanum 'autumn moon'| aceracea vj.2
|acer sinense| aceracea |j.5,10; j.7,2|
|acer tataricum subsp. guinnala| aceracea bns.v
|acer truncatum| aceracea e.7.7
|acer x conspicuum 'red flamingo'| aceracea ji.1
|acer x freemanii 'autumm blaze'| aceracea f.4
|aesculus flava| hippocastanacea f.18
|aesculus hippocastanum| hippocastanacea |c.1.3.4, c.1.4, c.11.6, c.15.1, c.15.4, c.16.2, c.16.3,c.2.1, c.2.2.1, c.2.3.2, c.6.1, c.8.1, e.0, e.1.7, e.6.7, e.7.5, e.8.3, e.8.6, f.17, f.18, f.8, plat.3, v.2, vj.10|
|aesculus indica| hippocastanacea f.16
|aesculus pavia 'atrosanguinea'| hippocastanacea f.10
|aesculus splendens| hippocastanacea f.21
|aesculus turbinata| hippocastanacea plat.3,v.2.1,v.2.3
|aesculus x carnea| hippocastanacea c.15.4,c.3.8,e.10.5,e.9.7,f.16
|aesculus x carnea briotii| hippocastanacea c.3.3
|ailanthus altissima| simaroubacea c.12.12,c.13.12,c.4.9,c.5.6,c.6.12
|amelanchier laevis| rosacea f.18
|amelanchier lamarckii| rosacea |f.16, f.24|
|aphananthe aspera| ulmacea c.7.7
|araucaria angustifolia| araucariacea e.0,f.22
|araucaria araucana| araucariacea e.1.3
|arbutus andrachne| ericaceae e.4.7
|arbutus unedo| ericaceae |e.4.4, f.21, f.5|
|arbutus x andrachnoides| ericaceae e.4.3
|betula alba| betulacea c.12.1,c.5.1
|betula pendula| betulacea c.3.2,e.2.16,f.10
|betula pendula fontqueri| betulacea c.12.12,c.3.16
|brachychiton populneus| sterculiacea e.11.7
|brahea armata| palma f.26
|brahea brandegeei| palma e.13.4
|brahea edulis| palma f.26
|broussonetia papyrifera| moracea c.8.1,e.10.5,e.12.5
|butia capitata| palma f.13
|calocedrus decurrens| cupressacea |c.4.1, e.1.3, f.21|
|calocedrus decurrens 'aureovariegata'| cupressacea c.3.4,c.3.8,e.1.5
|cedrus atlantica| pinacea f.21
|cedrus atlantica 'glauca'| pinacea f.21
|cedrus deodara| pinacea e.11.7
|cedrus libani| pinacea f.13,tol.3
|celtis australis| ulmacea |c.10.7, c.11.6, c.12.12, c.14.12, c.14.3, c.14.6, c.14.7, c.16.2, c.16.3, c.16.4, c.2.3.1, c.2.4.4, c.3.12, c.3.2, c.3.9, c.4.7, c.4.8, c.6.7, c.7.6, c.7.7, c.8.1, c.8.6, e.10.5, e.11.9, e.2.2,  e.4.5, e.4.8, e.6.5|
|celtis bungeana| ulmacea c.16.4
|celtis caucasica| ulmacea c.3.13,c.3.14,c.5.12
|celtis laevigata| ulmacea c.4.6
|celtis occidentalis| ulmacea |c.11.7, c.13.1, c.15.4, c.16.1, c.2.3.4, c.4.1, c.4.10, c.6.1, c.8.1, c.8.6, e.4.5, plat.1, vj.12, vj.2, vj.4, vj.6|
|celtis reticulata| ulmacea e.9.6
|celtis sinensis| ulmacea e.11.13
|celtis spinosa| ulmacea vj.2
|cercidiphyllum japonicum| cercidiphyllacea e.2.8
|cercis chinensis| leguminosa |f.11, f.16, v.2.2|
|cercis siliquastrum| leguminosa |c.12.11, c.13.6, c.16.1, c.2.2.3, c.6.12, e.0, f.17, f.19, tol.3, vj.16|
|chamaecyparis funebris| cupressacea e.1.1
|chamaecyparis lawsoniana forsteckensis| cupressacea c.3.7
|chamaecyparis nootkatensis pendula| cupressacea c.3.4
|cinnamomum camphora| lauracea e.2.2,vj.1
|citrus aurantium| rutacea e.6.4
|cladrastis kentukea| leguminosa e.5.10
|cordyline australis| agavacea |e.12.7, e.12.8|
|cryptomeria japonica 'araucaroides'| taxodiacea e.1.6
|cunninghamia lanceolata| taxodiacea e.1.3,e.1.5,v.2.2
|cupressus arizonica| cupressacea f.13,f.21
